x (n)      | Nn(x)        | wn(x)          
---------------------------------------------
1000.0     | 3.0000       | 0.00e+00       
1150.0     | 3.2477       | 3.70e+16       
1300.0     | 3.5148       | 5.58e+16       
1450.0     | 3.8007       | 6.01e+16       
1600.0     | 4.1048       | 5.31e+16       
1750.0     | 4.4264       | 3.76e+16       
1900.0     | 4.7651       | 1.63e+16       
2050.0     | 5.1201       | -8.50e+15      
2200.0     | 5.4911       | -3.46e+16      
2350.0     | 5.8773       | -6.01e+16      
2500.0     | 6.2784       | -8.35e+16      
2650.0     | 6.6937       | -1.03e+17      
2800.0     | 7.1229       | -1.19e+17      
2950.0     | 7.5654       | -1.28e+17      
3100.0     | 8.0208       | -1.31e+17      
3250.0     | 8.4886       | -1.28e+17      
3400.0     | 8.9684       | -1.17e+17      
3550.0     | 9.4599       | -9.85e+16      
3700.0     | 9.9625       | -7.28e+16      
3850.0     | 10.4760      | -3.99e+16      
4000.0     | 11.0000      | 0.00e+00       
4150.0     | 11.5341      | 4.63e+16       
4300.0     | 12.0781      | 9.86e+16       
4450.0     | 12.6315      | 1.56e+17       
4600.0     | 13.1941      | 2.18e+17       
4750.0     | 13.7657      | 2.83e+17       
4900.0     | 14.3460      | 3.50e+17       
5050.0     | 14.9346      | 4.19e+17       
5200.0     | 15.5315      | 4.88e+17       
5350.0     | 16.1364      | 5.55e+17       
5500.0     | 16.7490      | 6.20e+17       
5650.0     | 17.3693      | 6.81e+17       
5800.0     | 17.9970      | 7.37e+17       
5950.0     | 18.6320      | 7.86e+17       
6100.0     | 19.2741      | 8.26e+17       
6250.0     | 19.9234      | 8.57e+17       
6400.0     | 20.5795      | 8.76e+17       
6550.0     | 21.2426      | 8.82e+17       
6700.0     | 21.9124      | 8.75e+17       
6850.0     | 22.5890      | 8.51e+17       
7000.0     | 23.2723      | 8.10e+17       
7150.0     | 23.9623      | 7.51e+17       
7300.0     | 24.6591      | 6.71e+17       
7450.0     | 25.3625      | 5.70e+17       
7600.0     | 26.0727      | 4.47e+17       
7750.0     | 26.7897      | 3.00e+17       
7900.0     | 27.5136      | 1.29e+17       
8050.0     | 28.2444      | -6.87e+16      
8200.0     | 28.9822      | -2.92e+17      
8350.0     | 29.7272      | -5.44e+17      
8500.0     | 30.4795      | -8.23e+17      
8650.0     | 31.2392      | -1.13e+18      
8800.0     | 32.0065      | -1.47e+18      
8950.0     | 32.7816      | -1.83e+18      
9100.0     | 33.5646      | -2.23e+18      
9250.0     | 34.3558      | -2.65e+18      
9400.0     | 35.1554      | -3.10e+18      
9550.0     | 35.9636      | -3.58e+18      
9700.0     | 36.7807      | -4.09e+18      
9850.0     | 37.6071      | -4.62e+18      
10000.0    | 38.4429      | -5.18e+18      
10150.0    | 39.2884      | -5.77e+18      
10300.0    | 40.1441      | -6.38e+18      
10450.0    | 41.0102      | -7.00e+18      
10600.0    | 41.8871      | -7.65e+18      
10750.0    | 42.7752      | -8.31e+18      
10900.0    | 43.6749      | -8.99e+18      
11050.0    | 44.5865      | -9.68e+18      
11200.0    | 45.5105      | -1.04e+19      
11350.0    | 46.4473      | -1.11e+19      
11500.0    | 47.3975      | -1.18e+19      
11650.0    | 48.3613      | -1.25e+19      
11800.0    | 49.3395      | -1.32e+19      
11950.0    | 50.3323      | -1.39e+19      
12100.0    | 51.3405      | -1.45e+19      
12250.0    | 52.3644      | -1.52e+19      
12400.0    | 53.4047      | -1.58e+19      
12550.0    | 54.4619      | -1.64e+19      
12700.0    | 55.5367      | -1.69e+19      
12850.0    | 56.6295      | -1.74e+19      
13000.0    | 57.7411      | -1.78e+19      
13150.0    | 58.8720      | -1.82e+19      
13300.0    | 60.0229      | -1.85e+19      
13450.0    | 61.1945      | -1.87e+19      
13600.0    | 62.3875      | -1.89e+19      
13750.0    | 63.6026      | -1.89e+19      
13900.0    | 64.8404      | -1.88e+19      
14050.0    | 66.1017      | -1.86e+19      
14200.0    | 67.3872      | -1.83e+19      
14350.0    | 68.6978      | -1.79e+19      
14500.0    | 70.0342      | -1.73e+19      
14650.0    | 71.3971      | -1.65e+19      
14800.0    | 72.7875      | -1.56e+19      
14950.0    | 74.2061      | -1.44e+19      
15100.0    | 75.6538      | -1.31e+19      
15250.0    | 77.1314      | -1.16e+19      
15400.0    | 78.6399      | -9.77e+18      
15550.0    | 80.1801      | -7.74e+18      
15700.0    | 81.7528      | -5.44e+18      
15850.0    | 83.3592      | -2.87e+18      
16000.0    | 85.0000      | 0.00e+00       
